home_team,away_team,home_goals,away_goals,result,season
Burnley   ,Brighton and Hove Albion  ,1,0,H,2018-2019
Cardiff City   ,Southampton  ,1,0,H,2018-2019
Chelsea   ,Manchester City  ,2,0,H,2018-2019
Leicester City   ,Tottenham Hotspur  ,0,2,A,2018-2019
Manchester United   ,Fulham  ,4,1,H,2018-2019
West Ham United   ,Crystal Palace  ,3,2,H,2018-2019
Newcastle United   ,Wolverhampton Wanderers  ,1,2,A,2018-2019
Everton    ,Watford  ,2,2,D,2018-2019
Crystal Palace   ,Leicester City  ,1,0,H,2018-2019
Fulham   ,West Ham United  ,0,2,A,2018-2019
Huddersfield Town AFC   ,Newcastle United  ,0,1,A,2018-2019
Manchester City   ,Everton   ,3,1,H,2018-2019
Tottenham Hotspur   ,Burnley  ,1,0,H,2018-2019
Watford   ,Cardiff City  ,3,2,H,2018-2019
Wolverhampton Wanderers   ,AFC Bournemouth  ,2,0,H,2018-2019
Brighton and Hove Albion   ,Chelsea  ,1,2,A,2018-2019
Liverpool   ,Manchester United  ,3,1,H,2018-2019
Southampton   ,Arsenal  ,3,2,H,2018-2019
Wolverhampton Wanderers   ,Liverpool  ,0,2,A,2018-2019
Arsenal   ,Burnley  ,3,1,H,2018-2019
AFC Bournemouth   ,Brighton and Hove Albion  ,2,0,H,2018-2019
Cardiff City   ,Manchester United  ,1,5,A,2018-2019
Chelsea   ,Leicester City  ,0,1,A,2018-2019
Huddersfield Town AFC   ,Southampton  ,1,3,A,2018-2019
Manchester City   ,Crystal Palace  ,2,3,A,2018-2019
Newcastle United   ,Fulham  ,0,0,D,2018-2019
West Ham United   ,Watford  ,0,2,A,2018-2019
Everton    ,Tottenham Hotspur  ,2,6,A,2018-2019
Brighton and Hove Albion   ,Arsenal  ,1,1,D,2018-2019
Burnley   ,Everton   ,1,5,A,2018-2019
Crystal Palace   ,Cardiff City  ,0,0,D,2018-2019
Fulham   ,Wolverhampton Wanderers  ,1,1,D,2018-2019
Leicester City   ,Manchester City  ,2,1,H,2018-2019
Liverpool   ,Newcastle United  ,4,0,H,2018-2019
Manchester United   ,Huddersfield Town AFC  ,3,1,H,2018-2019
Tottenham Hotspur   ,AFC Bournemouth  ,5,0,H,2018-2019
Watford   ,Chelsea  ,1,2,A,2018-2019
Southampton   ,West Ham United  ,1,2,A,2018-2019
Brighton and Hove Albion   ,Everton   ,1,0,H,2018-2019
Fulham   ,Huddersfield Town AFC  ,1,0,H,2018-2019
Leicester City   ,Cardiff City  ,0,1,A,2018-2019
Liverpool   ,Arsenal  ,5,1,H,2018-2019
Tottenham Hotspur   ,Wolverhampton Wanderers  ,1,3,A,2018-2019
Watford   ,Newcastle United  ,1,1,D,2018-2019
Burnley   ,West Ham United  ,2,0,H,2018-2019
Crystal Palace   ,Chelsea  ,0,1,A,2018-2019
Manchester United   ,AFC Bournemouth  ,4,1,H,2018-2019
Southampton   ,Manchester City  ,1,3,A,2018-2019
Arsenal   ,Fulham  ,4,1,H,2018-2019
Cardiff City   ,Tottenham Hotspur  ,0,3,A,2018-2019
Everton    ,Leicester City  ,0,1,A,2018-2019
AFC Bournemouth   ,Watford  ,3,3,D,2018-2019
Chelsea   ,Southampton  ,0,0,D,2018-2019
Huddersfield Town AFC   ,Burnley  ,1,2,A,2018-2019
Newcastle United   ,Manchester United  ,0,2,A,2018-2019
West Ham United   ,Brighton and Hove Albion  ,2,2,D,2018-2019
Wolverhampton Wanderers   ,Crystal Palace  ,0,2,A,2018-2019
Manchester City   ,Liverpool  ,2,1,H,2018-2019
Brighton and Hove Albion   ,Liverpool  ,0,1,A,2018-2019
Burnley   ,Fulham  ,2,1,H,2018-2019
Cardiff City   ,Huddersfield Town AFC  ,0,0,D,2018-2019
Chelsea   ,Newcastle United  ,2,1,H,2018-2019
Crystal Palace   ,Watford  ,1,2,A,2018-2019
Leicester City   ,Southampton  ,1,2,A,2018-2019
West Ham United   ,Arsenal  ,1,0,H,2018-2019
Everton    ,AFC Bournemouth  ,2,0,H,2018-2019
Tottenham Hotspur   ,Manchester United  ,0,1,A,2018-2019
