home_team,away_team,home_goals,away_goals,result,season
Everton,ManchesterCity,0,2,A,2018-2019
BrightonandHoveAlbion,Burnley,1,3,A,2018-2019
CrystalPalace,WestHamUnited,1,1,D,2018-2019
Fulham,ManchesterUnited,0,3,A,2018-2019
HuddersfieldTownAFC,Arsenal,1,2,A,2018-2019
Liverpool,AFCBournemouth,3,0,H,2018-2019
Southampton,CardiffCity,1,2,A,2018-2019
Watford,Everton,1,0,H,2018-2019
ManchesterCity,Chelsea,6,0,H,2018-2019
TottenhamHotspur,LeicesterCity,3,1,H,2018-2019
WolverhamptonWanderers,NewcastleUnited,1,1,D,2018-2019
CardiffCity,Watford,1,5,A,2018-2019
WestHamUnited,Fulham,3,1,H,2018-2019
AFCBournemouth,WolverhamptonWanderers,1,1,D,2018-2019
Burnley,TottenhamHotspur,2,1,H,2018-2019
LeicesterCity,CrystalPalace,1,4,A,2018-2019
NewcastleUnited,HuddersfieldTownAFC,2,0,H,2018-2019
Arsenal,Southampton,2,0,H,2018-2019
ManchesterUnited,Liverpool,0,0,D,2018-2019
CardiffCity,Everton,0,3,A,2018-2019
HuddersfieldTownAFC,WolverhamptonWanderers,1,0,H,2018-2019
LeicesterCity,BrightonandHoveAlbion,2,1,H,2018-2019
NewcastleUnited,Burnley,2,0,H,2018-2019
Arsenal,AFCBournemouth,5,1,H,2018-2019
Chelsea,TottenhamHotspur,2,0,H,2018-2019
CrystalPalace,ManchesterUnited,1,3,A,2018-2019
Liverpool,Watford,5,0,H,2018-2019
ManchesterCity,WestHamUnited,1,0,H,2018-2019
Southampton,Fulham,2,0,H,2018-2019
AFCBournemouth,ManchesterCity,0,1,A,2018-2019
BrightonandHoveAlbion,HuddersfieldTownAFC,1,0,H,2018-2019
Burnley,CrystalPalace,1,3,A,2018-2019
ManchesterUnited,Southampton,3,2,H,2018-2019
TottenhamHotspur,Arsenal,1,1,D,2018-2019
WestHamUnited,NewcastleUnited,2,0,H,2018-2019
WolverhamptonWanderers,CardiffCity,2,0,H,2018-2019
Everton,Liverpool,0,0,D,2018-2019
Fulham,Chelsea,1,2,A,2018-2019
Watford,LeicesterCity,2,1,H,2018-2019
CardiffCity,WestHamUnited,2,0,H,2018-2019
CrystalPalace,BrightonandHoveAlbion,1,2,A,2018-2019
HuddersfieldTownAFC,AFCBournemouth,0,2,A,2018-2019
LeicesterCity,Fulham,3,1,H,2018-2019
ManchesterCity,Watford,3,1,H,2018-2019
NewcastleUnited,Everton,3,2,H,2018-2019
Southampton,TottenhamHotspur,2,1,H,2018-2019
Arsenal,ManchesterUnited,2,0,H,2018-2019
Chelsea,WolverhamptonWanderers,1,1,D,2018-2019
Liverpool,Burnley,4,2,H,2018-2019
AFCBournemouth,NewcastleUnited,2,2,D,2018-2019
Burnley,LeicesterCity,1,2,A,2018-2019
WestHamUnited,HuddersfieldTownAFC,4,3,H,2018-2019
Everton,Chelsea,2,0,H,2018-2019
Fulham,Liverpool,1,2,A,2018-2019
BrightonandHoveAlbion,Southampton,0,1,A,2018-2019
Burnley,WolverhamptonWanderers,2,0,H,2018-2019
CrystalPalace,HuddersfieldTownAFC,1,2,A,2018-2019
Fulham,ManchesterCity,0,1,A,2018-2019
LeicesterCity,AFCBournemouth,2,0,H,2018-2019
ManchesterUnited,Watford,2,0,H,2018-2019
WestHamUnited,Everton,0,2,A,2018-2019
CardiffCity,Chelsea,2,0,H,2018-2019
Liverpool,TottenhamHotspur,2,1,H,2018-2019
Arsenal,NewcastleUnited,2,0,H,2018-2019
Watford,Fulham,4,1,H,2018-2019
WolverhamptonWanderers,ManchesterUnited,2,1,H,2018-2019
Chelsea,BrightonandHoveAlbion,3,0,H,2018-2019
ManchesterCity,CardiffCity,2,0,H,2018-2019
TottenhamHotspur,CrystalPalace,2,0,H,2018-2019
Southampton,Liverpool,1,3,A,2018-2019
AFCBournemouth,Burnley,1,3,A,2018-2019
HuddersfieldTownAFC,LeicesterCity,1,4,A,2018-2019
NewcastleUnited,CrystalPalace,0,1,A,2018-2019
Everton,Arsenal,1,0,H,2018-2019
Chelsea,WestHamUnited,2,0,H,2018-2019
LeicesterCity,NewcastleUnited,0,1,A,2018-2019
BrightonandHoveAlbion,AFCBournemouth,0,5,A,2018-2019
Burnley,CardiffCity,2,0,H,2018-2019
Fulham,Everton,2,0,H,2018-2019
ManchesterUnited,WestHamUnited,2,1,H,2018-2019
Southampton,WolverhamptonWanderers,3,1,H,2018-2019
TottenhamHotspur,HuddersfieldTownAFC,4,0,H,2018-2019
CrystalPalace,ManchesterCity,1,3,A,2018-2019
Liverpool,Chelsea,2,0,H,2018-2019
Watford,Arsenal,0,1,A,2018-2019
BrightonandHoveAlbion,CardiffCity,0,2,A,2018-2019
AFCBournemouth,Fulham,0,1,A,2018-2019
HuddersfieldTownAFC,Watford,1,2,A,2018-2019
ManchesterCity,TottenhamHotspur,1,0,H,2018-2019
NewcastleUnited,Southampton,3,1,H,2018-2019
WestHamUnited,LeicesterCity,2,2,D,2018-2019
WolverhamptonWanderers,BrightonandHoveAlbion,0,0,D,2018-2019
Arsenal,CrystalPalace,2,3,A,2018-2019
CardiffCity,Liverpool,0,2,A,2018-2019
Everton,ManchesterUnited,4,0,H,2018-2019
Chelsea,Burnley,2,2,D,2018-2019
TottenhamHotspur,BrightonandHoveAlbion,1,0,H,2018-2019
Watford,Southampton,1,1,D,2018-2019
ManchesterUnited,ManchesterCity,0,2,A,2018-2019
WolverhamptonWanderers,Arsenal,3,1,H,2018-2019
Liverpool,HuddersfieldTownAFC,5,0,H,2018-2019
BrightonandHoveAlbion,NewcastleUnited,1,1,D,2018-2019
CrystalPalace,Everton,0,0,D,2018-2019
Fulham,CardiffCity,1,0,H,2018-2019
Southampton,AFCBournemouth,3,3,D,2018-2019
TottenhamHotspur,WestHamUnited,0,1,A,2018-2019
Watford,WolverhamptonWanderers,1,2,A,2018-2019
Burnley,ManchesterCity,0,1,A,2018-2019
LeicesterCity,Arsenal,3,0,H,2018-2019
ManchesterUnited,Chelsea,1,1,D,2018-2019
Everton,Burnley,2,0,H,2018-2019
AFCBournemouth,TottenhamHotspur,1,0,H,2018-2019
CardiffCity,CrystalPalace,2,3,A,2018-2019
NewcastleUnited,Liverpool,2,3,A,2018-2019
WestHamUnited,Southampton,3,0,H,2018-2019
WolverhamptonWanderers,Fulham,1,0,H,2018-2019
Arsenal,BrightonandHoveAlbion,1,1,D,2018-2019
Chelsea,Watford,3,0,H,2018-2019
HuddersfieldTownAFC,ManchesterUnited,1,1,D,2018-2019
ManchesterCity,LeicesterCity,1,0,H,2018-2019
BrightonandHoveAlbion,ManchesterCity,1,4,A,2018-2019
Burnley,Arsenal,1,3,A,2018-2019
CrystalPalace,AFCBournemouth,5,3,H,2018-2019
Fulham,NewcastleUnited,0,4,A,2018-2019
LeicesterCity,Chelsea,0,0,D,2018-2019
Liverpool,WolverhamptonWanderers,2,0,H,2018-2019
ManchesterUnited,CardiffCity,0,2,A,2018-2019
Southampton,HuddersfieldTownAFC,1,1,D,2018-2019
TottenhamHotspur,Everton,2,2,D,2018-2019
Watford,WestHamUnited,1,4,A,2018-2019
